timestamp,sender,message,message_type
2025-02-28 18:37:06,用户B,我好像总是做不好，很沮丧。,text
2025-01-04 08:23:00,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-10-04 10:26:25,用户B,我觉得自己好像什么都做不好。,text
2024-06-22 02:51:05,用户A,相信自己，你一定可以克服这个挑战。,text
2024-08-08 15:37:26,用户B,我不知道该怎么面对这个挑战。,text
2024-08-27 16:13:13,用户A,别担心，一切都会好起来的。,text
2024-09-10 12:52:22,用户B,我不知道该怎么继续下去了。,text
2025-01-16 13:30:02,用户A,相信自己，你一定可以克服这个挑战。,text
2024-12-03 22:40:50,用户B,我不知道该怎么解决这个问题。,text
2024-07-05 09:54:08,用户A,我会一直支持你，无论发生什么。,text
2024-05-08 20:31:48,用户B,最近工作压力很大，有点撑不住了。,text
2024-11-20 00:53:10,用户A,你已经做得很棒了，继续加油！,text
2024-07-24 00:00:38,用户B,我觉得自己好像被困住了。,text
2024-11-11 07:24:47,用户A,困难只是暂时的，未来会更美好。,text
2024-11-19 01:07:10,用户B,我感觉很迷茫，不知道该怎么办。,text
2024-08-11 09:12:08,用户A,困难只是暂时的，未来会更美好。,text
2024-11-04 11:15:38,用户B,我感觉自己很失败，很无助。,text
2024-06-17 05:29:27,用户A,无论遇到什么困难，我都会在你身边。,text
2024-04-06 00:58:38,用户B,我不知道该怎么解决这个问题。,text
2024-05-27 02:17:14,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-06-23 10:51:51,用户B,我不知道该怎么面对这个挑战。,text
2024-12-10 12:54:44,用户A,困难只是暂时的，未来会更美好。,text
2024-05-28 04:59:42,用户B,我感觉自己很失败，很无助。,text
2025-01-15 07:42:28,用户A,别担心，一切都会好起来的。,text
2024-08-10 16:39:14,用户B,我不知道该怎么解决这个问题。,text
2024-11-05 20:53:17,用户A,别担心，一切都会好起来的。,text
2024-05-10 18:47:44,用户B,我觉得自己好像什么都做不好。,text
2025-01-03 20:04:44,用户A,无论遇到什么困难，我都会在你身边。,text
2024-11-23 14:37:29,用户B,我不知道该怎么面对这个挑战。,text
2024-09-26 14:25:44,用户A,你比你想象的要坚强得多。,text
2024-08-04 07:22:28,用户B,我觉得自己好像什么都做不好。,text
2024-09-10 02:05:44,用户A,困难只是暂时的，未来会更美好。,text
2024-10-17 13:36:50,用户B,我感觉很累，有点想放弃了。,text
2024-04-29 08:33:57,用户A,无论遇到什么困难，我都会在你身边。,text
2024-07-15 10:35:51,用户B,我感觉很迷茫，不知道该怎么办。,text
2024-11-28 00:15:15,用户A,慢慢来，不要给自己太大压力。,text
2025-01-04 16:19:50,用户B,我感觉很累，有点想放弃了。,text
2024-08-13 00:36:39,用户A,相信自己，你一定可以克服这个挑战。,text
2024-03-26 02:49:11,用户B,我感觉自己很失败，很无助。,text
2024-07-23 19:08:04,用户A,相信自己，你一定可以克服这个挑战。,text
2024-12-16 21:15:46,用户B,我不知道该怎么解决这个问题。,text
2025-02-13 03:04:10,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-11-05 11:35:28,用户B,我感觉很迷茫，不知道该怎么办。,text
2024-04-28 03:18:37,用户A,相信自己，你一定可以克服这个挑战。,text
2024-09-11 03:05:39,用户B,我感觉自己很失败，很无助。,text
2025-02-25 21:50:59,用户A,你已经做得很棒了，继续加油！,text
2024-06-14 06:50:11,用户B,我不知道该怎么继续下去了。,text
2024-03-30 19:56:55,用户A,无论遇到什么困难，我都会在你身边。,text
2024-09-08 20:12:31,用户B,我不知道该怎么解决这个问题。,text
2025-01-30 16:12:07,用户A,相信自己，你一定可以克服这个挑战。,text
2024-11-01 07:40:10,用户B,我感觉很累，有点想放弃了。,text
2024-07-15 12:40:10,用户A,每一次挫折都是成长的机会，别灰心。,text
2024-09-22 09:33:28,用户B,我不知道该怎么面对这个挑战。,text
2024-09-12 01:32:01,用户A,别担心，一切都会好起来的。,text
2024-06-03 15:18:46,用户B,我感觉自己很失败，很无助。,text
2024-05-31 07:15:49,用户A,慢慢来，不要给自己太大压力。,text
2024-10-05 05:39:12,用户B,我不知道该怎么解决这个问题。,text
2024-04-22 00:57:50,用户A,你已经做得很棒了，继续加油！,text
2024-10-17 18:57:12,用户B,我不知道该怎么解决这个问题。,text
2024-03-18 22:54:26,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-03-12 22:52:50,用户B,我觉得自己好像什么都做不好。,text
2025-01-05 03:17:31,用户A,别担心，一切都会好起来的。,text
2024-03-22 14:37:14,用户B,我感觉自己很失败，很无助。,text
2025-01-31 08:16:26,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-10-23 14:40:05,用户B,我不知道该怎么继续下去了。,text
2024-08-16 10:40:39,用户A,无论遇到什么困难，我都会在你身边。,text
2024-05-12 11:55:23,用户B,我不知道该怎么继续下去了。,text
2024-11-08 15:18:32,用户A,我会一直支持你，无论发生什么。,text
2024-04-16 09:32:14,用户B,我不知道该怎么继续下去了。,text
2024-04-02 12:00:56,用户A,你已经做得很棒了，继续加油！,text
2025-02-16 20:02:41,用户B,我感觉很累，有点想放弃了。,text
2024-11-22 11:35:21,用户A,困难只是暂时的，未来会更美好。,text
2025-02-10 18:40:21,用户B,我好像总是做不好，很沮丧。,text
2024-09-01 16:39:39,用户A,你比你想象的要坚强得多。,text
2024-05-24 02:41:13,用户B,我好像总是做不好，很沮丧。,text
2024-03-04 14:58:25,用户A,困难只是暂时的，未来会更美好。,text
2024-11-26 03:33:34,用户B,我不知道该怎么解决这个问题。,text
2024-03-18 09:56:41,用户A,无论遇到什么困难，我都会在你身边。,text
2025-02-18 16:31:37,用户B,我不知道该怎么解决这个问题。,text
2024-04-28 21:39:01,用户A,你已经做得很棒了，继续加油！,text
2024-06-06 11:18:20,用户B,我感觉很累，有点想放弃了。,text
2024-03-22 03:39:49,用户A,无论遇到什么困难，我都会在你身边。,text
2024-07-14 05:49:46,用户B,我好像总是做不好，很沮丧。,text
2024-06-24 21:23:15,用户A,你比你想象的要坚强得多。,text
2024-05-13 19:44:46,用户B,我觉得自己好像什么都做不好。,text
2024-11-30 13:03:22,用户A,你已经做得很棒了，继续加油！,text
2025-01-02 21:38:28,用户B,我觉得自己好像什么都做不好。,text
2024-06-24 21:00:46,用户A,你已经做得很棒了，继续加油！,text
2024-12-18 16:43:36,用户B,最近工作压力很大，有点撑不住了。,text
2024-07-10 00:39:57,用户A,无论遇到什么困难，我都会在你身边。,text
2025-02-22 13:31:02,用户B,我好像总是做不好，很沮丧。,text
2025-02-12 16:49:07,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-06-03 14:55:52,用户B,我感觉很累，有点想放弃了。,text
2025-02-14 22:30:05,用户A,慢慢来，不要给自己太大压力。,text
2024-04-28 04:44:55,用户B,我觉得自己好像什么都做不好。,text
2024-11-15 02:15:39,用户A,你已经做得很棒了，继续加油！,text
2024-12-31 23:10:14,用户B,我好像总是做不好，很沮丧。,text
2024-04-19 04:45:23,用户A,你已经做得很棒了，继续加油！,text
2024-08-09 07:14:42,用户B,我好像总是做不好，很沮丧。,text
2025-02-21 06:43:24,用户A,每一次挫折都是成长的机会，别灰心。,text
2024-09-12 10:10:20,用户B,最近工作压力很大，有点撑不住了。,text
2024-08-25 03:04:32,用户A,我会一直支持你，无论发生什么。,text
2024-08-02 15:24:13,用户B,我感觉很迷茫，不知道该怎么办。,text
2024-10-01 00:56:17,用户A,你已经比昨天进步了很多，继续前进吧。,text
2024-09-05 11:32:55,用户B,我不知道该怎么继续下去了。,text
2024-08-03 02:52:24,用户A,你比你想象的要坚强得多。,text
2025-01-22 17:33:12,用户B,我觉得自己好像被困住了。,text
2025-02-08 14:47:42,用户A,你比你想象的要坚强得多。,text
2024-09-22 11:51:20,用户B,最近工作压力很大，有点撑不住了。,text
2024-12-02 05:20:25,用户A,无论遇到什么困难，我都会在你身边。,text
